brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url,acceleration_efficiency,charging_speed_km_per_min,acceleration_class
DS,N°8 FWD Long Range,190,97.2,Lithium-ion,,345.0,136,545,7.8,130.0,CCS,1200.0,620,5,FWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3077/DS-N8-FWD-Long-Range,12.461538461538462,15.931372549019608,Moderate
Dacia,Spring Electric 45,125,25.0,Lithium-ion,72.0,125.0,109,165,19.1,29.0,CCS,0.0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback,https://ev-database.org/car/2126/Dacia-Spring-Electric-45,1.3089005235602094,4.434250764525994,Very Slow
Dacia,Spring Electric 65,125,25.0,Lithium-ion,72.0,113.0,114,160,13.7,29.0,CCS,0.0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback,https://ev-database.org/car/2127/Dacia-Spring-Electric-65,1.8248175182481752,4.239766081871346,Very Slow
Dongfeng,Box 31.4 kWh,140,29.0,Lithium-ion,,160.0,126,190,12.5,50.0,CCS,397.0,326,5,FWD,B - Compact,4020,1810,1570,Hatchback,https://ev-database.org/car/3035/Dongfeng-Box-314-kWh,2.32,6.613756613756613,Very Slow
Dongfeng,Box 42.3 kWh,140,40.0,Lithium-ion,,160.0,129,255,12.5,51.0,CCS,398.5,326,5,FWD,B - Compact,4020,1810,1570,Hatchback,https://ev-database.org/car/3036/Dongfeng-Box-423-kWh,3.2,6.589147286821705,Very Slow
Elaris,BEO 86 kWh,150,81.0,Lithium-ion,,320.0,203,390,9.5,65.0,CCS,1193.5,467,5,FWD,JD - Large,4698,1908,1696,SUV,https://ev-database.org/car/1975/Elaris-BEO-86-kWh,8.526315789473685,5.336617405582923,Slow
Fiat,500e 3+1 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1726/Fiat-500e-3plus1-24-kWh,2.3666666666666667,5.9523809523809526,Slow
Fiat,500e 3+1 42 kWh,150,37.3,Lithium-ion,192.0,220.0,122,235,9.0,67.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1328/Fiat-500e-3plus1-42-kWh,4.144444444444444,9.153005464480875,Slow
Fiat,500e Cabrio 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet,https://ev-database.org/car/1727/Fiat-500e-Cabrio-24-kWh,2.3666666666666667,5.9523809523809526,Slow
Fiat,500e Cabrio 42 kWh,150,37.3,Lithium-ion,192.0,220.0,125,230,9.0,67.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet,https://ev-database.org/car/1275/Fiat-500e-Cabrio-42-kWh,4.144444444444444,8.933333333333334,Slow
Fiat,500e Hatchback 24 kWh,135,21.3,Lithium-ion,108.0,220.0,112,135,9.0,40.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1327/Fiat-500e-Hatchback-24-kWh,2.3666666666666667,5.9523809523809526,Slow
Fiat,500e Hatchback 42 kWh,150,37.3,Lithium-ion,192.0,220.0,118,235,9.0,67.0,CCS,0.0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh,4.144444444444444,9.463276836158192,Slow
Fiat,600e,150,50.8,Lithium-ion,102.0,260.0,124,310,9.0,79.0,CCS,0.0,360,5,FWD,JB - Compact,4171,1781,1523,SUV,https://ev-database.org/car/1945/Fiat-600e,5.644444444444444,10.618279569892474,Slow
Fiat,Grande Panda,132,43.8,Lithium-ion,,122.0,136,260,11.0,60.0,CCS,550.0,361,5,FWD,B - Compact,3999,1763,1570,Hatchback,https://ev-database.org/car/2251/Fiat-Grande-Panda,3.9818181818181815,7.352941176470589,Very Slow
Ford,Capri Extended Range AWD,180,79.0,Lithium-ion,288.0,679.0,148,455,5.3,135.0,CCS,1200.0,572,5,AWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2242/Ford-Capri-Extended-Range-AWD,14.90566037735849,15.202702702702704,Fast
Ford,Capri Extended Range RWD,180,77.0,Lithium-ion,288.0,545.0,135,455,6.4,120.0,CCS,1000.0,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2241/Ford-Capri-Extended-Range-RWD,12.03125,14.814814814814815,Moderate
Ford,Capri Standard Range RWD,160,52.0,Lithium-ion,192.0,310.0,163,320,9.0,85.0,CCS,1000.0,572,5,RWD,D - Large,4643,1872,1626,Liftback Sedan,https://ev-database.org/car/2240/Ford-Capri-Standard-Range-RWD,5.777777777777778,8.69120654396728,Slow
Ford,Explorer Extended Range AWD,180,79.0,Lithium-ion,288.0,679.0,153,440,5.3,135.0,CCS,1200.0,536,5,AWD,JC - Medium,4468,1871,1639,SUV,https://ev-database.org/car/2169/Ford-Explorer-Extended-Range-AWD,14.90566037735849,14.705882352941178,Fast
Ford,Explorer Extended Range RWD,180,77.0,Lithium-ion,288.0,545.0,139,435,6.4,120.0,CCS,1000.0,536,5,RWD,JC - Medium,4468,1871,1630,SUV,https://ev-database.org/car/2168/Ford-Explorer-Extended-Range-RWD,12.03125,14.388489208633095,Moderate
Ford,Explorer Standard Range RWD,160,52.0,Lithium-ion,192.0,310.0,137,305,8.7,85.0,CCS,1000.0,536,5,RWD,JC - Medium,4468,1871,1630,SUV,https://ev-database.org/car/2167/Ford-Explorer-Standard-Range-RWD,5.977011494252874,10.340632603406327,Slow
Ford,Mustang Mach-E ER AWD (MY25),180,88.0,Lithium-ion,,675.0,160,435,4.8,105.0,CCS,1500.0,519,5,AWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3189/Ford-Mustang-Mach-E-ER-AWD,18.333333333333336,10.9375,Fast
Ford,Mustang Mach-E ER AWD (MY24),180,91.0,Lithium-ion,376.0,675.0,165,445,4.6,115.0,CCS,1500.0,519,5,AWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2279/Ford-Mustang-Mach-E-ER-AWD,19.782608695652176,11.616161616161616,Fast
Ford,Mustang Mach-E ER RWD (MY25),180,88.0,Lithium-ion,,525.0,147,475,6.1,105.0,CCS,1500.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3188/Ford-Mustang-Mach-E-ER-RWD,14.426229508196721,11.904761904761905,Moderate
Ford,Mustang Mach-E ER RWD (MY24),180,91.0,Lithium-ion,376.0,525.0,152,480,5.9,115.0,CCS,1500.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2278/Ford-Mustang-Mach-E-ER-RWD,15.423728813559322,12.609649122807017,Fast
Ford,Mustang Mach-E GT (MY24),200,91.0,Lithium-ion,376.0,950.0,177,425,3.8,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1613,SUV,https://ev-database.org/car/2280/Ford-Mustang-Mach-E-GT,23.947368421052634,10.828625235404896,Super Fast
Ford,Mustang Mach-E GT (MY25),200,91.0,Lithium-ion,376.0,950.0,177,435,3.8,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1613,SUV,https://ev-database.org/car/3190/Ford-Mustang-Mach-E-GT,23.947368421052634,10.828625235404896,Super Fast
Ford,Mustang Mach-E Rally (MY25),200,91.0,Lithium-ion,376.0,950.0,178,415,3.9,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1633,SUV,https://ev-database.org/car/3191/Ford-Mustang-Mach-E-Rally,23.333333333333332,10.767790262172285,Super Fast
Ford,Mustang Mach-E Rally (MY24),200,91.0,Lithium-ion,376.0,950.0,178,410,3.9,115.0,CCS,750.0,519,5,AWD,JD - Large,4743,1881,1633,SUV,https://ev-database.org/car/2275/Ford-Mustang-Mach-E-Rally,23.333333333333332,10.767790262172285,Super Fast
Ford,Mustang Mach-E SR RWD (MY24),180,72.6,Lithium-ion,,525.0,154,385,6.2,100.0,CCS,750.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/2277/Ford-Mustang-Mach-E-SR-RWD,11.709677419354838,10.822510822510823,Moderate
Ford,Mustang Mach-E SR RWD (MY25),180,72.6,Lithium-ion,,525.0,154,380,6.2,100.0,CCS,750.0,519,5,RWD,JD - Large,4713,1881,1624,SUV,https://ev-database.org/car/3187/Ford-Mustang-Mach-E-SR-RWD,11.709677419354838,10.822510822510823,Moderate
Ford,Puma Gen-E,160,43.6,Lithium-ion,,290.0,126,275,8.0,85.0,CCS,750.0,523,5,FWD,JB - Compact,4214,1805,1555,SUV,https://ev-database.org/car/3073/Ford-Puma-Gen-E,5.45,11.243386243386244,Moderate
Ford,e-Tourneo Custom L1 160 kW,130,64.0,Lithium-ion,,415.0,370,235,9.0,70.0,CCS,2000.0,672,8,RWD,N - Passenger Van,5050,1999,1959,Small Passenger Van,https://ev-database.org/car/3162/Ford-e-Tourneo-Custom-L1-160-kW,7.111111111111111,3.1531531531531534,Slow
Ford,e-Tourneo Custom L1 210 kW,130,64.0,Lithium-ion,,415.0,370,235,8.0,70.0,CCS,2000.0,672,8,RWD,N - Passenger Van,5050,1999,1959,Small Passenger Van,https://ev-database.org/car/3163/Ford-e-Tourneo-Custom-L1-210-kW,8.0,3.1531531531531534,Moderate
Ford,e-Tourneo Custom L2 160 kW,150,64.0,Lithium-ion,,415.0,370,235,9.0,70.0,CCS,2000.0,672,8,RWD,N - Passenger Van,5908,1999,1959,Small Passenger Van,https://ev-database.org/car/3164/Ford-e-Tourneo-Custom-L2-160-kW,7.111111111111111,3.1531531531531534,Slow
Ford,e-Tourneo Custom L2 210 kW,150,64.0,Lithium-ion,,415.0,370,235,8.0,70.0,CCS,2000.0,672,8,RWD,N - Passenger Van,5908,1999,1959,Small Passenger Van,https://ev-database.org/car/3165/Ford-e-Tourneo-Custom-L2-210-kW,8.0,3.1531531531531534,Moderate
GWM,ORA 03 48 kWh,160,45.4,Lithium-ion,,250.0,146,260,8.3,45.0,CCS,0.0,228,5,FWD,C - Medium,4235,1825,1603,Hatchback,https://ev-database.org/car/2091/GWM-ORA-03-48-kWh,5.469879518072289,5.136986301369863,Slow
GWM,ORA 03 63 kWh,160,59.3,Lithium-ion,,250.0,141,340,8.2,56.0,CCS,0.0,228,5,FWD,C - Medium,4235,1825,1603,Hatchback,https://ev-database.org/car/2092/GWM-ORA-03-63-kWh,7.231707317073171,6.619385342789598,Slow
GWM,ORA 03 GT,160,59.3,Lithium-ion,,250.0,148,325,8.2,56.0,CCS,0.0,228,5,FWD,C - Medium,4254,1848,1603,Hatchback,https://ev-database.org/car/2093/GWM-ORA-03-GT,7.231707317073171,6.306306306306307,Slow
GWM,ORA 07 GT,180,83.5,Lithium-ion,,680.0,161,430,4.5,80.0,CCS,0.0,333,5,AWD,D - Large,4871,1862,1500,Sedan,https://ev-database.org/car/2247/GWM-ORA-07-GT,18.555555555555557,8.281573498964804,Fast
GWM,ORA 07 Pro,170,64.3,Lithium-ion,,340.0,146,350,8.2,75.0,CCS,0.0,333,5,FWD,D - Large,4871,1862,1500,Sedan,https://ev-database.org/car/2246/GWM-ORA-07-Pro,7.841463414634147,8.561643835616438,Slow
GWM,ORA 07 Pure,170,64.3,Lithium-ion,,340.0,146,350,8.2,75.0,CCS,0.0,333,5,FWD,D - Large,4871,1862,1500,Sedan,https://ev-database.org/car/2245/GWM-ORA-07-Pure,7.841463414634147,8.561643835616438,Slow
Genesis,G80 Electrified Luxury,225,82.5,Lithium-ion,,700.0,159,440,4.9,160.0,CCS,1724.24,354,5,AWD,F - Luxury,5005,1925,1470,Sedan,https://ev-database.org/car/1703/Genesis-G80-Electrified-Luxury,16.83673469387755,16.771488469601675,Fast
Genesis,GV60 Premium,185,74.0,Lithium-ion,384.0,350.0,143,390,7.8,200.0,CCS,1600.0,432,5,RWD,JC - Medium,4515,1890,1580,SUV,https://ev-database.org/car/1647/Genesis-GV60-Premium,9.487179487179487,23.31002331002331,Moderate
Genesis,GV60 Sport,200,74.0,Lithium-ion,384.0,605.0,157,375,5.5,200.0,CCS,1600.0,432,5,AWD,JC - Medium,4515,1890,1580,SUV,https://ev-database.org/car/1648/Genesis-GV60-Sport,13.454545454545455,21.231422505307858,Fast
Genesis,GV60 Sport Plus,235,74.0,Lithium-ion,384.0,700.0,159,360,4.0,200.0,CCS,1600.0,432,5,AWD,JC - Medium,4515,1890,1580,SUV,https://ev-database.org/car/1649/Genesis-GV60-Sport-Plus,18.5,20.964360587002098,Super Fast
Genesis,GV70 Electrified Sport,235,74.0,Lithium-ion,384.0,700.0,163,350,4.2,190.0,CCS,1800.0,503,5,AWD,JD - Large,4715,1910,1630,SUV,https://ev-database.org/car/1725/Genesis-GV70-Electrified-Sport,17.619047619047617,19.427402862985684,Fast
Honda,e:Ny1,160,61.9,Lithium-ion,,310.0,150,335,7.6,60.0,CCS,0.0,361,5,FWD,JB - Compact,4387,1790,1584,SUV,https://ev-database.org/car/1940/Honda-eNy1,8.144736842105264,6.666666666666667,Moderate
Hongqi,E-HS9 120 kWh,200,112.0,Lithium-ion,,750.0,217,455,4.9,110.0,CCS,1500.0,438,5,AWD,JF - Luxury,5209,2010,1731,SUV,https://ev-database.org/car/2050/Hongqi-E-HS9-120-kWh,22.857142857142854,8.448540706605222,Fast
Hongqi,E-HS9 84 kWh,200,76.5,Lithium-ion,,600.0,193,320,6.5,112.0,CCS,1500.0,438,5,AWD,JF - Luxury,5209,2010,1731,SUV,https://ev-database.org/car/1746/Hongqi-E-HS9-84-kWh,11.76923076923077,9.671848013816925,Moderate
Hongqi,E-HS9 99 kWh,200,90.0,Lithium-ion,,750.0,194,370,4.9,112.0,CCS,1500.0,438,5,AWD,JF - Luxury,5209,2010,1731,SUV,https://ev-database.org/car/1747/Hongqi-E-HS9-99-kWh,18.36734693877551,9.621993127147766,Fast
Hyundai,INSTER Long Range,150,46.0,Lithium-ion,,147.0,124,300,10.6,70.0,CCS,143.5,280,4,FWD,JA - Mini,3825,1610,1575,SUV,https://ev-database.org/car/2231/Hyundai-INSTER-Long-Range,4.339622641509434,9.408602150537634,Very Slow
Hyundai,INSTER Standard Range,140,39.0,Lithium-ion,,147.0,119,255,11.7,60.0,CCS,145.5,280,4,FWD,JA - Mini,3825,1610,1575,SUV,https://ev-database.org/car/2230/Hyundai-INSTER-Standard-Range,3.3333333333333335,8.403361344537815,Very Slow
Hyundai,IONIQ 5 63 kWh RWD (MY24),185,60.0,Lithium-ion,288.0,350.0,136,345,8.5,150.0,CCS,750.0,520,5,RWD,JC - Medium,4655,1890,1605,SUV,https://ev-database.org/car/2235/Hyundai-IONIQ-5-63-kWh-RWD,7.0588235294117645,18.38235294117647,Slow
Hyundai,IONIQ 5 84 kWh AWD (MY24),185,80.0,Lithium-ion,384.0,605.0,162,445,5.3,205.0,CCS,1600.0,520,5,AWD,JC - Medium,4655,1890,1605,SUV,https://ev-database.org/car/2237/Hyundai-IONIQ-5-84-kWh-AWD,15.09433962264151,21.090534979423868,Fast
Hyundai,IONIQ 5 84 kWh RWD (MY24),185,80.0,Lithium-ion,384.0,350.0,155,450,7.5,205.0,CCS,1600.0,520,5,RWD,JC - Medium,4655,1890,1605,SUV,https://ev-database.org/car/2236/Hyundai-IONIQ-5-84-kWh-RWD,10.666666666666666,22.043010752688172,Moderate
Hyundai,IONIQ 5 N (MY24),260,80.0,Lithium-ion,384.0,740.0,179,390,3.4,205.0,CCS,0.0,480,5,AWD,JC - Medium,4715,1940,1585,SUV,https://ev-database.org/car/2044/Hyundai-IONIQ-5-N,23.529411764705884,19.08752327746741,Super Fast
Hyundai,IONIQ 6 Long Range 2WD,185,74.0,Lithium-ion,384.0,350.0,136,495,7.4,200.0,CCS,1500.0,401,5,RWD,D - Large,4855,1880,1495,Sedan,https://ev-database.org/car/1718/Hyundai-IONIQ-6-Long-Range-2WD,10.0,24.509803921568626,Moderate
Hyundai,IONIQ 6 Long Range AWD,185,74.0,Lithium-ion,384.0,605.0,143,440,5.1,200.0,CCS,1500.0,401,5,AWD,D - Large,4855,1880,1495,Sedan,https://ev-database.org/car/1719/Hyundai-IONIQ-6-Long-Range-AWD,14.50980392156863,23.31002331002331,Fast
Hyundai,IONIQ 6 Standard Range 2WD,185,50.0,Lithium-ion,264.0,350.0,117,335,8.8,120.0,CCS,750.0,401,5,RWD,D - Large,4855,1880,1495,Sedan,https://ev-database.org/car/1717/Hyundai-IONIQ-6-Standard-Range-2WD,5.681818181818182,17.094017094017094,Slow
Hyundai,IONIQ 9 Long Range AWD,200,106.0,Lithium-ion,,605.0,177,490,6.7,195.0,CCS,2500.0,338,7,AWD,JF - Luxury,5060,1980,1790,SUV,https://ev-database.org/car/3068/Hyundai-IONIQ-9-Long-Range-AWD,15.82089552238806,18.361581920903955,Moderate
Hyundai,IONIQ 9 Long Range RWD,185,106.0,Lithium-ion,,350.0,171,500,9.4,195.0,CCS,1600.0,338,7,RWD,JF - Luxury,5060,1980,1790,SUV,https://ev-database.org/car/3067/Hyundai-IONIQ-9-Long-Range-RWD,11.27659574468085,19.00584795321637,Slow
Hyundai,IONIQ 9 Performance AWD,200,106.0,Lithium-ion,,700.0,177,480,5.2,195.0,CCS,2500.0,338,7,AWD,JF - Luxury,5060,1980,1790,SUV,https://ev-database.org/car/3069/Hyundai-IONIQ-9-Performance-AWD,20.384615384615383,18.361581920903955,Fast
Hyundai,Kona Electric 48 kWh,160,48.4,Lithium-ion,,255.0,128,295,8.8,50.0,CCS,300.0,466,5,FWD,JB - Compact,4355,1825,1575,SUV,https://ev-database.org/car/1829/Hyundai-Kona-Electric-48-kWh,5.499999999999999,6.510416666666667,Slow
Hyundai,Kona Electric 65 kWh,170,65.4,Lithium-ion,,255.0,144,390,7.8,86.0,CCS,750.0,466,5,FWD,JB - Compact,4355,1825,1575,SUV,https://ev-database.org/car/1830/Hyundai-Kona-Electric-65-kWh,8.384615384615385,9.953703703703702,Moderate
Jaguar,I-Pace EV400,200,84.7,Lithium-ion,432.0,696.0,208,380,4.8,85.0,CCS,750.0,505,5,AWD,JD - Large,4682,2011,1566,SUV,https://ev-database.org/car/1812/Jaguar-I-Pace-EV400,17.645833333333336,6.810897435897435,Fast
Jeep,Avenger Electric,150,50.8,Lithium-ion,102.0,260.0,132,310,9.0,85.0,CCS,0.0,355,5,FWD,JB - Compact,4084,1776,1528,SUV,https://ev-database.org/car/1816/Jeep-Avenger-Electric,5.644444444444444,10.732323232323234,Slow
Jeep,Compass Electric 74 kWh,180,74.0,Lithium-ion,,345.0,148,370,8.5,90.0,CCS,1000.0,550,5,FWD,JC - Medium,4552,1928,1675,SUV,https://ev-database.org/car/3181/Jeep-Compass-Electric-74-kWh,8.705882352941176,10.135135135135135,Slow
KGM,Torres EVX,175,72.0,Lithium-ion,,339.0,156,370,8.1,85.0,CCS,1500.0,839,5,FWD,JC - Medium,4715,1890,1725,SUV,https://ev-database.org/car/2189/KGM-Torres-EVX,8.88888888888889,9.081196581196583,Slow
Kia,EV3 Long Range,170,78.0,Lithium-ion,,283.0,139,455,7.7,105.0,CCS,1000.0,460,5,FWD,JB - Compact,4300,1850,1560,SUV,https://ev-database.org/car/2212/Kia-EV3-Long-Range,10.12987012987013,12.589928057553957,Moderate
Kia,EV3 Standard Range,170,55.0,Lithium-ion,,283.0,133,325,7.5,80.0,CCS,300.0,460,5,FWD,JB - Compact,4300,1850,1560,SUV,https://ev-database.org/car/2211/Kia-EV3-Standard-Range,7.333333333333333,10.025062656641603,Moderate
Kia,EV4 Hatchback Long Range,170,78.0,Lithium-ion,,283.0,132,475,7.7,105.0,CCS,759.5,435,5,FWD,C - Medium,4430,1860,1485,Hatchback,https://ev-database.org/car/3124/Kia-EV4-Hatchback-Long-Range,10.12987012987013,13.257575757575758,Moderate
Kia,EV4 Hatchback Standard Range,170,55.0,Lithium-ion,,283.0,134,340,7.4,80.0,CCS,331.0,435,5,FWD,C - Medium,4430,1860,1485,Hatchback,https://ev-database.org/car/3123/Kia-EV4-Hatchback-Standard-Range,7.4324324324324325,9.950248756218906,Moderate
Kia,EV4 Sedan Long Range,170,78.0,Lithium-ion,,283.0,124,495,7.7,105.0,CCS,802.7,490,5,FWD,C - Medium,4730,1860,1480,Sedan,https://ev-database.org/car/3122/Kia-EV4-Sedan-Long-Range,10.12987012987013,14.112903225806452,Moderate
Kia,EV4 Sedan Standard Range,170,55.0,Lithium-ion,,283.0,128,355,7.4,80.0,CCS,319.5,490,5,FWD,C - Medium,4730,1860,1480,Sedan,https://ev-database.org/car/3121/Kia-EV4-Sedan-Standard-Range,7.4324324324324325,10.416666666666666,Moderate
Kia,EV6 GT,260,80.0,Lithium-ion,384.0,770.0,178,385,3.5,205.0,CCS,1800.0,480,5,AWD,JC - Medium,4695,1890,1545,SUV,https://ev-database.org/car/3079/Kia-EV6-GT,22.857142857142858,19.194756554307116,Super Fast
Kia,EV6 Long Range 2WD,185,80.0,Lithium-ion,384.0,350.0,143,455,7.3,205.0,CCS,1800.0,490,5,RWD,JC - Medium,4695,1880,1575,SUV,https://ev-database.org/car/3028/Kia-EV6-Long-Range-2WD,10.95890410958904,23.892773892773892,Moderate
Kia,EV6 Long Range AWD,185,80.0,Lithium-ion,384.0,605.0,154,440,5.2,205.0,CCS,1800.0,490,5,AWD,JC - Medium,4695,1880,1575,SUV,https://ev-database.org/car/3029/Kia-EV6-Long-Range-AWD,15.384615384615383,22.18614718614719,Fast
Kia,EV6 Standard Range 2WD,185,60.0,Lithium-ion,288.0,350.0,140,345,8.7,150.0,CCS,750.0,490,5,RWD,JC - Medium,4695,1880,1575,SUV,https://ev-database.org/car/3030/Kia-EV6-Standard-Range-2WD,6.8965517241379315,17.857142857142854,Slow
Kia,EV9 76.1 kWh RWD,190,73.0,Lithium-ion,348.0,350.0,165,355,8.5,160.0,CCS,900.0,333,7,RWD,JF - Luxury,5010,1980,1755,SUV,https://ev-database.org/car/1833/Kia-EV9-761-kWh-RWD,8.588235294117647,16.161616161616163,Slow
Kia,EV9 99.8 kWh AWD,200,96.0,Lithium-ion,456.0,600.0,188,435,6.0,194.0,CCS,2500.0,333,7,AWD,JF - Luxury,5010,1980,1755,SUV,https://ev-database.org/car/1835/Kia-EV9-998-kWh-AWD,16.0,17.19858156028369,Fast
Kia,EV9 99.8 kWh AWD GT,220,96.0,Lithium-ion,456.0,740.0,190,420,4.6,194.0,CCS,2500.0,333,7,AWD,JF - Luxury,5015,1980,1755,SUV,https://ev-database.org/car/3196/Kia-EV9-998-kWh-AWD-GT,20.869565217391305,17.017543859649123,Fast
Kia,EV9 99.8 kWh AWD GT-Line,200,96.0,Lithium-ion,456.0,700.0,190,425,5.3,194.0,CCS,2500.0,333,7,AWD,JF - Luxury,5015,1980,1780,SUV,https://ev-database.org/car/1993/Kia-EV9-998-kWh-AWD-GT-Line,18.11320754716981,17.017543859649123,Fast
Kia,EV9 99.8 kWh RWD,185,96.0,Lithium-ion,456.0,350.0,171,450,9.4,194.0,CCS,900.0,333,7,RWD,JF - Luxury,5010,1980,1755,SUV,https://ev-database.org/car/1834/Kia-EV9-998-kWh-RWD,10.212765957446807,18.908382066276804,Slow
Kia,Niro EV,167,64.8,Lithium-ion,96.0,255.0,140,385,7.8,70.0,CCS,750.0,475,5,FWD,JC - Medium,4420,1825,1570,SUV,https://ev-database.org/car/1666/Kia-Niro-EV,8.307692307692308,8.333333333333334,Moderate
Lancia,Ypsilon,150,48.1,Lithium-ion,96.0,260.0,122,310,8.2,80.0,CCS,0.0,309,5,FWD,B - Compact,4080,1760,1440,Hatchback,https://ev-database.org/car/2117/Lancia-Ypsilon,5.865853658536586,10.92896174863388,Slow
Leapmotor,C10,170,69.9,Lithium-ion,,320.0,166,350,7.5,70.0,CCS,1500.0,435,5,RWD,JD - Large,4739,1900,1680,SUV,https://ev-database.org/car/3040/Leapmotor-C10,9.32,7.028112449799197,Moderate
Leapmotor,T03,130,36.0,Lithium-ion,,158.0,136,225,12.7,30.0,CCS,71.5,210,4,FWD,A - Mini,3620,1652,1577,Hatchback,https://ev-database.org/car/3039/Leapmotor-T03,2.834645669291339,3.6764705882352944,Very Slow
Lexus,RZ 300e,160,64.0,Lithium-ion,96.0,266.0,149,365,8.0,100.0,CCS,750.0,522,5,FWD,JC - Medium,4690,1860,1600,SUV,https://ev-database.org/car/3027/Lexus-RZ-300e,8.0,11.185682326621924,Moderate
Lexus,RZ 450e,160,64.0,Lithium-ion,96.0,435.0,158,350,5.6,100.0,CCS,750.0,522,5,AWD,JD - Large,4805,1895,1635,SUV,https://ev-database.org/car/1677/Lexus-RZ-450e,11.428571428571429,10.548523206751055,Fast
Lexus,UX 300e,160,64.0,Lithium-ion,96.0,300.0,145,340,7.5,35.0,CHAdeMO,0.0,316,5,FWD,JC - Medium,4495,1840,1545,SUV,https://ev-database.org/car/1943/Lexus-UX-300e,8.533333333333333,4.022988505747127,Moderate
Lotus,Eletre,250,109.0,Lithium-ion,,710.0,204,495,4.5,259.0,CCS,2250.0,611,5,AWD,JF - Luxury,5103,2019,1630,SUV,https://ev-database.org/car/1767/Lotus-Eletre,24.22222222222222,21.160130718954246,Fast
Lotus,Eletre R,260,109.0,Lithium-ion,,985.0,266,455,2.9,259.0,CCS,2250.0,611,5,AWD,JF - Luxury,5103,2019,1636,SUV,https://ev-database.org/car/1768/Lotus-Eletre-R,37.58620689655172,16.228070175438596,Super Fast
Lotus,Eletre S,250,109.0,Lithium-ion,,710.0,222,480,4.5,259.0,CCS,2250.0,611,5,AWD,JF - Luxury,5103,2019,1630,SUV,https://ev-database.org/car/2066/Lotus-Eletre-S,24.22222222222222,19.444444444444446,Fast
Lotus,Emeya,250,98.9,Lithium-ion,,710.0,198,520,4.2,240.0,CCS,2250.0,509,5,AWD,F - Luxury,5139,2005,1464,Liftback Sedan,https://ev-database.org/car/2141/Lotus-Emeya,23.547619047619047,20.2020202020202,Fast
Lotus,Emeya R,256,98.9,Lithium-ion,,985.0,227,465,2.8,240.0,CCS,1225.0,509,5,AWD,F - Luxury,5139,2005,1464,Liftback Sedan,https://ev-database.org/car/2143/Lotus-Emeya-R,35.32142857142858,17.621145374449338,Super Fast
Lotus,Emeya S,250,98.9,Lithium-ion,,710.0,198,520,4.2,240.0,CCS,2250.0,509,5,AWD,F - Luxury,5139,2005,1464,Liftback Sedan,https://ev-database.org/car/2142/Lotus-Emeya-S,23.547619047619047,20.2020202020202,Fast
Lucid,Air Grand Touring,270,112.0,Lithium-ion,6600.0,1200.0,143,665,3.0,184.0,CCS,0.0,456,5,AWD,F - Luxury,4975,1939,1410,Sedan,https://ev-database.org/car/1316/Lucid-Air-Grand-Touring,37.333333333333336,21.445221445221442,Super Fast
Lucid,Air Pure RWD,200,92.0,Lithium-ion,5400.0,611.4033333333333,130,565,4.7,160.0,CCS,0.0,456,5,RWD,F - Luxury,4975,1939,1410,Sedan,https://ev-database.org/car/2116/Lucid-Air-Pure-RWD,19.574468085106382,20.51282051282051,Fast
Lucid,Air Touring,250,92.0,Lithium-ion,5400.0,897.703,142,580,3.2,160.0,CCS,0.0,456,5,AWD,F - Luxury,4975,1939,1410,Sedan,https://ev-database.org/car/1317/Lucid-Air-Touring,28.75,18.779342723004692,Super Fast
